4,Platform,Year_of_Release,Genre,Publisher,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales,Critic_Score,Critic_Count,User_Score,User_Count,Developer,Rating
Shiren the Wanderer,Wii,2008,Role-Playing,Sega,0.08,0,0.11,0.01,0.19,71,21,7.6,5,ChunSoft,T
Re-Volt,PlayStation,1998,Racing,Acclaim Entertainment,0.11,0.07,0,0.01,0.19,,,,,,
Kan Colle Kai,PlayStation Vita,2016,Action,Kadokawa Games,0,0,0.19,0,0.19,,,,,,
Descent,PlayStation,1996,Shooter,Interplay,0.11,0.07,0,0.01,0.19,,,,,,
LEGO Marvel's Avengers,Nintendo 3DS,2016,Action,Warner Bros. Interactive Entertainment,0.07,0.09,0.01,0.01,0.19,60,4,7.1,15,TT Games,E10+
Just Dance 2016,PlayStation 3,2015,Misc,Ubisoft,0.1,0.06,0,0.03,0.19,,,4.2,6,Ubisoft,E10+
Spore Hero Arena,Nintendo DS,2009,Simulation,Electronic Arts,0.18,0,0,0.01,0.19,49,11,2.6,8,Full Fat,E
Disney's Magical Mirror Starring Mickey Mouse,GameCube,2002,Adventure,Nintendo,0.15,0.04,0,0.01,0.19,50,9,8.9,10,Capcom,E
Enchanted Arms,Xbox 360,2006,Role-Playing,Ubisoft,0.16,0.02,0,0.02,0.19,69,54,6.9,60,From Software,T
Are You Smarter Than a 5th Grader? Back to School,Wii,2010,Misc,Nintendo,0.18,0,0,0.01,0.19,,,tbd,,THQ,E
Conflict: Denied OPlayStation,Xbox 360,2008,Shooter,Eidos Interactive,0.08,0.09,0,0.02,0.19,52,35,4.9,22,Pivotal Games,M
Mafia III,PC,2016,Action,Take-Two Interactive,0.08,0.1,0,0.02,0.19,63,29,3.2,881,Hangar 13,M
The Rise of the Argonauts,PlayStation 3,2008,Role-Playing,Codemasters,0.05,0.11,0,0.03,0.19,,,,,,
Barbie Fashion Show: An Eye for Style,Nintendo DS,2008,Misc,Activision,0.18,0,0,0.01,0.19,,,,,,
IHRA Professional Drag Racing 2005,PlayStation 2,2004,Racing,Bethesda Softworks,0.09,0.07,0,0.02,0.19,,,tbd,,Bethesda Softworks,E
Mace Griffin: Bounty Hunter,PlayStation 2,2003,Shooter,Electronic Arts,0.09,0.07,0,0.02,0.19,62,19,8.3,7,Warthog,M
101-in-1 Explosive Megamix,Nintendo DS,2008,Puzzle,NorDreamcasturrent,0.05,0.12,0,0.02,0.19,46,13,tbd,,NorDreamcasturrent,E
Legacy of Kain: Defiance,Xbox,2003,Action,Eidos Interactive,0.14,0.04,0,0.01,0.19,74,30,7.9,21,Crystal Dynamics,M
Final Fantasy XI,Xbox 360,2006,Role-Playing,Square Enix,0.17,0.01,0,0.01,0.19,66,25,6.5,33,Square Enix,T
Scene It? Twilight,Nintendo DS,2010,Misc,Konami Digital Entertainment,0.11,0.06,0,0.02,0.19,,,tbd,,Konami,T
Trivial Pursuit unhinged,PlayStation 2,2004,Misc,Atari,0.09,0.07,0,0.02,0.19,51,11,tbd,,Artech Studios,T
Tales of the World: Narikiri Dungeon 2,Game Boy Advance,2002,Role-Playing,Namco Bandai Games,0,0,0.19,0,0.19,,,,,,
Peter Jackson's King Kong: The Official Game of the Movie,PlayStation Portable,2005,Action,Ubisoft,0.16,0.01,0,0.02,0.19,56,10,6.4,22,Phoenix Games Studio,T
Fighter Within,Xbox One,2013,Fighting,Ubisoft,0.11,0.07,0,0.02,0.19,23,39,3,211,Ubisoft,T
Aliens versus Predator: Extinction,PlayStation 2,2003,Strategy,Electronic Arts,0.09,0.07,0,0.02,0.19,66,17,8.4,30,Zono Inc.,T
Shrek: Forever After,PlayStation 3,2010,Platform,Activision,0.16,0.02,0,0.02,0.19,57,11,4.5,6,Xpec,E10+
Silent Scope 2: Dark Silhouette,PlayStation 2,2001,Shooter,Konami Digital Entertainment,0.09,0.07,0,0.02,0.19,64,17,tbd,,KCET,M
The Spiderwick Chronicles,Wii,2008,Action,Vivendi Games,0.17,0,0,0.01,0.19,62,13,tbd,,Stormfront Studios,E10+
Dave Mirra Freestyle BMX 2,Game Boy Advance,2001,Sports,Acclaim Entertainment,0.14,0.05,0,0,0.19,85,7,tbd,,Full-Fat,E
X-Men Origins: Wolverine,PlayStation Portable,2009,Action,Activision,0.13,0.03,0,0.03,0.19,60,6,7.5,12,Griptonite Games,T
Jikkyou Powerful Pro Yakyuu '96 Kaimakuban,SNES,1996,Sports,Konami Digital Entertainment,0,0,0.19,0,0.19,,,,,,
Tokimeki Memorial Girl's Side 3rd Story,Nintendo DS,2010,Adventure,Konami Digital Entertainment,0,0,0.19,0,0.19,,,,,,
NHL Hitz Pro,PlayStation 2,2003,Sports,Midway Games,0.09,0.07,0,0.02,0.19,79,23,8.9,13,Next Level Games,E
Allied General,PlayStation,1996,Strategy,SSI,0.11,0.07,0,0.01,0.19,,,,,,
Marvel Super Hero Squad: Comic Combat,PlayStation 3,2011,Action,THQ,0.11,0.05,0,0.03,0.19,,,tbd,,THQ,E10+
Kamen Rider: Battride War,PlayStation 3,2013,Action,Namco Bandai Games,0,0,0.19,0,0.19,,,,,,
Fire ProWrestling G,PlayStation,1999,Fighting,Human Entertainment,0,0,0.18,0.01,0.19,,,,,,
Space Invaders Extreme 2,Nintendo DS,2009,Shooter,Square Enix,0.17,0.01,0,0.01,0.19,82,38,7.1,8,Taito Corporation,E
Need for Speed: The Run,Nintendo 3DS,2011,Action,Electronic Arts,0.09,0.09,0,0.02,0.19,65,9,6,26,Firebrand Games,E10+
Supreme Commander 2,PC,2010,Strategy,Square Enix,0,0.15,0,0.04,0.19,77,54,6.2,803,Gas Powered Games,E10+
Avatar: The Last Airbender - Into the Inferno,Wii,2008,Adventure,THQ,0.17,0.01,0,0.01,0.19,,,,,,
Quantum Theory,PlayStation 3,2010,Shooter,Tecmo Koei,0.05,0.09,0.02,0.03,0.19,43,34,5.3,21,Tecmo,M
Dawn of Discovery,Wii,2009,Simulation,Ubisoft,0.12,0.06,0,0.02,0.19,81,24,8.5,15,Keen Games,E10+
Guitar Hero Live,Wii U,2015,Misc,Activision,0.12,0.05,0,0.02,0.19,84,4,6.1,36,"Activision, FreeStyleGames",T
GunGriffon,SAT,1995,Simulation,Sega,0,0,0.19,0,0.19,,,,,,
SingStar Pop Vol.2,PlayStation 2,2008,Misc,Sony Computer Entertainment,0.09,0.07,0,0.02,0.19,,,,,,
SNK Arcade Classics Vol. 1,PlayStation 2,2008,Misc,Ignition Entertainment,0.09,0.07,0,0.02,0.19,69,16,tbd,,SNK Playmore,T
Darkstalkers 3,PlayStation,1998,Fighting,Capcom,0.11,0.07,0,0.01,0.19,,,,,,
International Cricket 2010,PlayStation 3,2010,Sports,Codemasters,0,0.15,0,0.04,0.19,,,,,,
Frequency,PlayStation 2,2001,Misc,Sony Computer Entertainment,0.09,0.07,0,0.02,0.19,83,26,9,29,Harmonix Music Systems,E
Inazuma Eleven Strikers 2012 Xtreme,Wii,2011,Role-Playing,Level 5,0,0,0.19,0,0.19,,,,,,
The Polar Express,Game Boy Advance,2004,Adventure,THQ,0.14,0.05,0,0,0.19,,,tbd,,Tantalus Interactive,E
Dynasty Warriors 8: Empires,PlayStation 4,2014,Action,Tecmo Koei,0.06,0.07,0.03,0.03,0.19,63,30,7.5,42,Omega Force,T
2002 FIFA World Cup,Xbox,2002,Sports,Electronic Arts,0.14,0.04,0,0.01,0.19,79,17,9,4,Software Creations,E
SpongeBob SquigglePants 3D,Nintendo 3DS,2011,Misc,THQ,0.13,0.05,0,0.02,0.19,64,8,6,8,WayForward,E
Jampack: Summer 2003 (RP-T),PlayStation 2,2003,Misc,Sony Computer Entertainment,0.09,0.07,0,0.02,0.19,,,,,,
Frogger's Adventures 2: The Lost Wand,Game Boy Advance,2002,Adventure,Konami Digital Entertainment,0.14,0.05,0,0,0.19,75,4,tbd,,Konami,E
Sudeki,Xbox,2004,Role-Playing,Microsoft Game Studios,0.14,0.04,0,0.01,0.19,72,75,8.4,49,Climax Group,M
Majin and the Forsaken Kingdom,Xbox 360,2010,Adventure,Namco Bandai Games,0.14,0.03,0,0.01,0.19,74,46,8.1,24,Game Republic,T
Silent Hill HD Collection,Xbox 360,2012,Action,Konami Digital Entertainment,0.11,0.06,0.01,0.02,0.19,69,17,5.6,98,Konami,M
Arc Rise Fantasia,Wii,2009,Role-Playing,Marvelous Interactive,0.12,0,0.06,0.01,0.19,64,26,7.8,43,"Image Epoch, Imageepoch",T
"Boku no Natsuyasumi 4: Seitouchi Shounen Tanteidan, Boku to Himitsu no Chizu",PlayStation Portable,2009,Adventure,Sony Computer Entertainment,0,0,0.19,0,0.19,,,,,,
Hot Wheels: Track Attack,Wii,2010,Racing,THQ,0.14,0.03,0,0.01,0.19,,,tbd,,Firebrand Games,E
Quake,N64,1998,Shooter,GT Interactive,0.15,0.04,0,0,0.19,,,,,,
SpongeBob's Surf & Skate Roadtrip,Xbox 360,2011,Action,THQ,0.15,0.03,0,0.01,0.19,,,,,,
Sesame Street: Elmo's Number Journey,N64,1999,Misc,NewKiDreamcasto,0.15,0.04,0,0,0.19,,,,,,
Hexen,N64,1996,Shooter,GT Interactive,0.15,0.04,0,0,0.19,,,,,,
Mace: The Dark Age,N64,1997,Fighting,GT Interactive,0.15,0.04,0,0,0.19,,,,,,
Puyo Puyo Sun 64,N64,1997,Puzzle,Compile,0,0,0.16,0.03,0.19,,,,,,
AeroFighters Assault,N64,1997,Action,Video System,0.15,0.04,0,0,0.19,,,,,,
Chou-Kuukan Night Pro Yakyuu King (weekly JP sales),N64,1996,Sports,Imagineer,0,0,0.19,0,0.19,,,,,,
South Park: The Stick of Truth,PC,2014,Role-Playing,Ubisoft,0.07,0.1,0,0.01,0.19,85,48,8.6,1739,Obsidian Entertainment,M
Tottadoo! Yoiko no Mujintou Seikatsu,Nintendo DS,2008,Adventure,Namco Bandai Games,0,0,0.19,0,0.19,,,,,,
Teenage Mutant Ninja Turtles 2: Battle Nexus,GameCube,2004,Action,Konami Digital Entertainment,0.15,0.04,0,0.01,0.19,49,16,4.6,7,Konami,T
Barbie Horse Adventures: Riding Camp,PlayStation 2,2008,Sports,Activision,0.09,0.07,0,0.02,0.19,,,tbd,,Pixel Tales,E
MLB 12: The Show,PlayStation Vita,2012,Sports,Sony Computer Entertainment,0.17,0,0,0.02,0.19,76,15,7.8,42,SCEA San Diego Studios,E
God Eater Resurrection,PlayStation Vita,2015,Action,Namco Bandai Games,0,0,0.19,0,0.19,,,8.8,17,"Shift, Bandai Namco Games",T
SSX Tricky,Game Boy Advance,2002,Sports,Electronic Arts,0.14,0.05,0,0,0.19,66,9,tbd,,Visual Impact,E
Kenka Banchou 4: Ichinen Sensou,PlayStation Portable,2010,Action,Spike,0,0,0.19,0,0.19,,,,,,
Warhammer: Shadow of the Horned Rat,PlayStation,1996,Strategy,MinNintendo DScape,0.11,0.07,0,0.01,0.19,,,,,,
NBA 2K11,PC,2010,Action,Take-Two Interactive,0.18,0,0,0.01,0.19,82,6,8.6,37,Visual Concepts,E
Pet Zombies,Nintendo 3DS,N/A,Simulation,Majesco Entertainment,0.18,0,0,0.01,0.19,,,tbd,,1st Playable Productions,T
Pro Yakyuu Team o Tsukurou!,Nintendo DS,2008,Sports,Sega,0,0,0.19,0,0.19,,,,,,
WWE All Stars,Wii,2011,Fighting,THQ,0.1,0.07,0,0.02,0.19,68,11,7,8,THQ,T
Naruto: Ninja Destiny,Nintendo DS,2006,Fighting,Namco Bandai Games,0.02,0.01,0.16,0,0.19,61,22,4.4,10,Takara Tomy,T
FaceBreaker,Xbox 360,2008,Fighting,Electronic Arts,0.15,0.02,0,0.02,0.19,54,57,6.3,19,EA Canada,T
ESPN International Track & Field,PlayStation 2,2000,Sports,Konami Digital Entertainment,0.09,0.07,0,0.02,0.19,,,,,,
Spider-Man: Shattered Dimensions,Nintendo DS,2010,Action,Activision,0.17,0.01,0,0.01,0.19,73,13,7,6,Griptonite Games,E10+
Lunar Legend,Game Boy Advance,2002,Role-Playing,Media Rings,0.14,0.05,0,0,0.19,79,20,7.8,8,Magic Rings,E
Conflict: Global Terror,PlayStation 2,2005,Shooter,Eidos Interactive,0.09,0.07,0,0.02,0.19,62,15,8.5,10,Pivotal Games,M
Dante's Inferno,PlayStation Portable,2010,Action,Electronic Arts,0.12,0.03,0.01,0.02,0.19,70,14,8.1,46,"Artificial Mind and Movement, EA Redwood Shores",M
Mystery Tales of Time Travel,Nintendo DS,2010,Puzzle,Foreign Media Games,0.01,0.15,0,0.02,0.19,,,,,,
Injustice: GoNintendo DS Among Us,Wii U,2013,Fighting,Warner Bros. Interactive Entertainment,0.09,0.08,0,0.02,0.19,82,5,7.9,112,NetherRealm Studios,T
Hisshou Pachinko*Pachi-Slot Kouryaku Series Vol. 5: CR Shinseiki Evangelion * Pachi-Slot Shinseiki Evangelion,PlayStation 2,2006,Misc,D3Publisher,0,0,0.19,0,0.19,,,,,,
NASCAR Unleashed,Nintendo 3DS,2011,Racing,Activision,0.18,0,0,0.01,0.19,,,tbd,,Firebrand Games,E
Tomb Raider: Underworld,Nintendo DS,2008,Action,Eidos Interactive,0.15,0.02,0,0.01,0.19,70,9,8.4,10,Santa Cruz Games,T
Death Jr.,PlayStation Portable,2005,Platform,Konami Digital Entertainment,0.17,0,0,0.01,0.19,61,40,7.3,21,Backbone Entertainment,T
Hulk,GameCube,2003,Action,Universal Interactive,0.15,0.04,0,0.01,0.19,71,26,7.4,7,Radical Entertainment,T
Boogie,PlayStation 2,2007,Misc,Electronic Arts,0.09,0.07,0,0.02,0.19,52,12,tbd,,"Pipeworks Software, Inc.",E10+
Arcade Shooting Gallery,Wii,2008,Shooter,Zoo Games,0.18,0,0,0.01,0.19,,,tbd,,Zoo Games,E10+
Phantasy Star Universe,PlayStation 2,2006,Role-Playing,Sega,0,0,0.19,0,0.19,68,18,8.5,23,Sonic Team,T
Gungrave,PlayStation 2,2002,Shooter,Activision,0.09,0.07,0,0.02,0.19,65,28,8.6,16,Seta Corporation,M
Schlag den Raab,Wii,2010,Misc,Namco Bandai Games,0,0.16,0,0.02,0.19,,,,,,
Transworld Surf,PlayStation 2,2002,Sports,Atari,0.09,0.07,0,0.02,0.19,76,15,8.5,6,Rockstar San Diego,T
Tenchu: Fatal Shadows,PlayStation 2,2004,Action,Sega,0.09,0.07,0,0.02,0.19,58,33,8,24,K2 LLC,M
50 Cent: Blood on the Sand,PlayStation 3,2009,Shooter,THQ,0.1,0.06,0.01,0.03,0.19,72,37,7.2,57,Swordfish Studios,M
Metro: Last Light,PC,2013,Action,Deep Silver,0.06,0.11,0,0.02,0.19,82,71,8.6,2654,4A Games,M
Evolve,PC,2015,Shooter,Take-Two Interactive,0.08,0.1,0,0.02,0.19,77,39,4.3,969,Turtle Rock Studios,M
FIFA 14,PlayStation Portable,2013,Sports,Electronic Arts,0,0.15,0,0.04,0.19,,,3.4,23,EA Canada,E
Resident Evil: Revelations,Wii U,2013,Action,Capcom,0.07,0.07,0.03,0.01,0.19,80,19,7.5,146,Capcom,M
Namco Museum Megamix,Wii,2010,Misc,Namco Bandai Games,0.17,0,0,0.01,0.19,53,12,tbd,,Namco Bandai Games,E
Chaotic: Shadow Warriors,Wii,2009,Action,Activision,0.18,0,0,0.01,0.19,,,tbd,,FUN Labs,E10+
The Legend of Spyro: A New Beginning,GameCube,2006,Platform,Vivendi Games,0.15,0.04,0,0.01,0.19,67,13,7.3,11,Krome Studios,E10+
International Soccer,2600,1981,Sports,Mattel Interactive,0.18,0.01,0,0,0.19,,,,,,
Princess Maker: Yumemiru Yosei,PlayStation,1997,Strategy,Sony Computer Entertainment,0,0,0.18,0.01,0.19,,,,,,
3rd Super Robot Wars Z: Tengoku-Hen,PlayStation Vita,2015,Action,Namco Bandai Games,0,0,0.19,0,0.19,,,,,,
Armored Core: For Answer,PlayStation 3,2008,Simulation,Ubisoft,0.06,0.02,0.1,0.01,0.19,62,22,7.6,31,From Software,T
Big Air,PlayStation,1999,Sports,Accolade,0.1,0.07,0,0.01,0.19,,,,,,
Shining Force II,GEN,1993,Strategy,Sega,0,0,0.19,0,0.19,,,,,,
Taiko no Tatsujin: Wii U Version!,Wii U,2013,Misc,Namco Bandai Games,0,0,0.19,0,0.19,,,,,,
Gallop Racer,PlayStation,1999,Sports,Tecmo Koei,0,0,0.18,0.01,0.19,,,,,,
The Walking Dead: Season Two,PlayStation 3,2014,Adventure,Telltale Games,0.09,0.06,0,0.03,0.19,,,,,,
Harry Potter and the Prisoner of Azkaban,Xbox,2004,Action,Electronic Arts,0.14,0.04,0,0.01,0.19,67,23,8.8,10,EA Games,E
3rd Super Robot Wars Z Jigoku Hen,PlayStation Vita,2014,Role-Playing,Namco Bandai Games,0,0,0.19,0,0.19,,,,,,
Where's Waldo? The Fantastic Journey,Wii,2009,Adventure,Ubisoft,0.17,0,0,0.01,0.19,,,tbd,,Classic Media Distribution Limited,E
Sudoku Gridmaster (JP sales),Nintendo DS,2006,Puzzle,Nintendo,0,0,0.19,0,0.19,,,,,,
Monsters vs. Aliens,PlayStation 2,2009,Action,Activision,0.11,0,0,0.08,0.19,64,4,tbd,,Beenox,E10+
College Slam,PlayStation,1995,Sports,Acclaim Entertainment,0.1,0.07,0,0.01,0.19,,,,,,
Street Fighter X Tekken,PlayStation Vita,2012,Fighting,Capcom,0.1,0.04,0.01,0.03,0.19,79,25,7.5,66,Capcom,T
Nobunaga no Yabou: Souzou,PlayStation 3,2013,Strategy,Tecmo Koei,0,0,0.19,0,0.19,,,,,,
The Legend of Heroes: Trails of Cold Steel II,PlayStation Vita,2014,Role-Playing,Nippon Ichi Software,0.02,0.02,0.13,0.01,0.19,80,23,7.3,73,Falcom,T
Pro Yaky? Spirits 4,PlayStation 2,2007,Sports,Konami Digital Entertainment,0,0,0.19,0,0.19,,,,,,
Rock Band Track Pack Volume 2,Xbox 360,2008,Misc,MTV Games,0.17,0.01,0,0.01,0.19,,,tbd,,Harmonix Music Systems,T
Need for Speed: Shift 2 Unleashed,PC,2011,Racing,Electronic Arts,0.05,0.11,0,0.03,0.19,,,,,,
Tamagotchi Party On!,Wii,2006,Misc,Namco Bandai Games,0.12,0,0.06,0.01,0.19,,,,,,
Daigasso! Band Brothers,Nintendo DS,2004,Misc,Nintendo,0,0,0.19,0,0.19,,,,,,
Rise of the Kasai,PlayStation 2,2005,Action,Sony Computer Entertainment,0.09,0.07,0,0.02,0.19,68,37,8,5,BottleRocket Entertainment,M
Thoroughbred Breeder,SNES,1993,Simulation,Hect,0,0,0.19,0,0.19,,,,,,
Momotarou Dentetsu World,Nintendo DS,2010,Misc,HuNintendo DSon Soft,0,0,0.19,0,0.19,,,,,,
Singstar: Ultimate Party,PlayStation 4,2014,Misc,Sony Computer Entertainment Europe,0,0.16,0,0.03,0.19,47,19,4.1,18,SCEE,
Beyblade: Metal Fusion - Battle Fortress,Wii,2009,Action,Konami Digital Entertainment,0.15,0,0.03,0.01,0.19,,,,,,
Risen,Xbox 360,2009,Role-Playing,Deep Silver,0.07,0.11,0,0.01,0.19,60,37,6.4,77,Piranha Bytes,M
Nostalgia,Nintendo DS,2008,Role-Playing,Tecmo Koei,0.16,0,0.02,0.01,0.19,72,36,7.6,19,Matrix Software,E10+
Dynasty Warriors Gundam,Xbox 360,2007,Action,Namco Bandai Games,0.15,0.01,0.02,0.01,0.19,55,34,6.8,20,"Koei, Omega Force",T
Chibi-Robo! Park Patrol,Nintendo DS,2007,Adventure,Unknown,0,0,0.19,0,0.19,78,14,7.5,13,Skip Ltd.,E
Jurassic: The Hunted,PlayStation 3,2009,Shooter,Activision,0.17,0,0,0.02,0.19,,,4.5,4,Activision,T
Farmtopia,Nintendo DS,2010,Simulation,505 Games,0.18,0,0,0.01,0.19,,,tbd,,505 Games,E
DanceDanceRevolution,PlayStation 3,2010,Simulation,Konami Digital Entertainment,0.12,0.05,0,0.02,0.19,60,5,tbd,,Konami,E10+
Tom Clancy's Splinter Cell: Blacklist,PC,2013,Action,Ubisoft,0.04,0.13,0,0.01,0.19,82,13,7.4,754,Ubisoft Toronto,M
"Ni Hao, Kai-lan: Super Game Day",Wii,2009,Misc,Take-Two Interactive,0.17,0,0,0.01,0.19,,,8.5,4,Take-Two Interactive,E
One Piece: Unlimited Adventure,Wii,2007,Adventure,Namco Bandai Games,0.07,0,0.11,0.01,0.19,67,17,8.5,32,Ganbarion,T
Shaun White Skateboarding,PlayStation 3,2010,Sports,Ubisoft,0.11,0.05,0,0.03,0.19,61,26,6.5,8,Ubisoft Montreal,T
Crash & Spyro Superpack,Game Boy Advance,2005,Platform,Vivendi Games,0.13,0.05,0,0,0.19,,,,,,
Reel Fishing Paradise 3D,Nintendo 3DS,2011,Sports,Marvelous Interactive,0.12,0,0.06,0.01,0.19,57,5,tbd,,Natsume,E
Conflict: Denied OPlayStation,PlayStation 3,2008,Shooter,Eidos Interactive,0.05,0.1,0,0.03,0.19,51,28,3.1,25,Pivotal Games,M
Binary Domain,Xbox 360,2012,Action,Sega,0.09,0.06,0.02,0.02,0.19,74,43,8,185,Sega,M
Kuma-Tomo,Nintendo 3DS,2013,Misc,Namco Bandai Games,0,0,0.19,0,0.19,,,,,,
IL-2 Sturmovik: BirNintendo DS of Prey,PlayStation Portable,2009,Simulation,505 Games,0.08,0.07,0,0.04,0.19,,,3,7,SME Dynamic Systems Limited,T
ThunderStrike 2,PlayStation,1994,Simulation,Core Design Ltd.,0.1,0.07,0,0.01,0.19,,,,,,
Magical ZhuZhu Princess: Carriages & Castles,Nintendo DS,2011,Simulation,Activision,0.13,0.04,0,0.01,0.19,,,,,,
Pro Yaky? Spirits 2012,PlayStation 3,2012,Sports,Konami Digital Entertainment,0,0,0.19,0,0.19,,,,,,
Super Real Mahjong P V,SAT,1995,Misc,Seta Corporation,0,0,0.19,0,0.19,,,,,,
Thomas the Tank Engine & FrienNintendo DS,Game Boy Advance,2004,Adventure,N/A,0.13,0.05,0,0,0.19,,,,,,
Penguin no Mondai X: Tenkuu no 7 Senshi,Nintendo DS,2009,Action,Konami Digital Entertainment,0,0,0.19,0,0.19,,,,,,
The Scorpion King: Sword of Osiris,Game Boy Advance,2002,Action,Vivendi Games,0.13,0.05,0,0,0.19,72,14,tbd,,WayForward,E
Jeep Thrills,Wii,2008,Racing,Zoo Digital Publishing,0.17,0,0,0.01,0.19,,,5.7,9,Game Sauce,E
Ice Age: Dawn of the Dinosaurs,PlayStation 3,2009,Action,Activision,0.13,0.03,0,0.02,0.19,67,23,7.3,7,Activision,E10+
Bubsy 3D,PlayStation,1996,Platform,Accolade,0.1,0.07,0,0.01,0.19,,,,,,
NCAA Final Four 2001,PlayStation 2,2000,Sports,Sony Computer Entertainment,0.09,0.07,0,0.02,0.19,49,10,tbd,,989 Sports,E
Robin Hood: Defender of the Crown,PlayStation 2,2003,Strategy,Capcom,0.09,0.07,0,0.02,0.19,59,18,5.6,5,Cinemaware,T
Face Training,Nintendo DS,2007,Misc,Nintendo,0,0,0.19,0,0.19,,,,,,
Barbie Horse Adventures: Riding Camp,Wii,2008,Sports,Activision,0.17,0,0,0.01,0.19,,,tbd,,Activision,E
SD Gundam GX,SNES,1994,Strategy,Namco Bandai Games,0,0,0.19,0,0.19,,,,,,
R-Type Final,PlayStation 2,2003,Shooter,Metro 3D,0.09,0.07,0,0.02,0.19,79,50,9.1,21,Irem,E
Jackie Chan Adventures: Legend of the Dark Hand,Game Boy Advance,2001,Action,Activision,0.13,0.05,0,0,0.19,,,,,,
Bolt,PlayStation 3,2008,Adventure,Disney Interactive Studios,0.12,0.04,0,0.02,0.19,59,11,6.8,6,Avalanche Software,E10+
Mathews Bowhunting,Wii,2010,Sports,Zoo Games,0.18,0,0,0.01,0.19,,,tbd,,Zoo Games,T
Phantasy Star Nova,PlayStation Vita,2014,Role-Playing,Sega,0,0,0.19,0,0.19,,,,,,
Pro Evolution Soccer 2014,Nintendo 3DS,2013,Action,Konami Digital Entertainment,0,0,0.19,0,0.19,,,,,Konami,E
Sega GT 2002,Xbox,2002,Racing,Sega,0.12,0.03,0.03,0.01,0.19,82,24,8.2,24,Wow Entertainment,E
F1 2011,PC,2011,Racing,Codemasters,0,0.15,0,0.04,0.19,83,10,7.2,83,Codemasters,E
Air Conflicts: Secret Wars,PlayStation 3,2011,Simulation,bitComposer Games,0.1,0.06,0,0.03,0.19,51,8,tbd,,Games Farm,T
Ty the Tasmanian Tiger 3: Night of the Quinkan,PlayStation 2,2005,Action,Activision,0.09,0.07,0,0.02,0.19,68,13,8.1,15,Krome Studios,E10+
Family Feud: 2012 Edition,Wii,2011,Misc,Ubisoft,0.17,0,0,0.01,0.19,,,tbd,,"Ubisoft, Ludia Inc.",E10+
Samurai Warriors 2: Empires,PlayStation 2,2006,Action,Tecmo Koei,0,0,0.19,0,0.19,55,20,7.3,7,Omega Force,T
Blood Omen 2,Xbox,2002,Action,Eidos Interactive,0.14,0.04,0,0.01,0.19,76,22,9,9,Crystal Dynamics,M
Earth Defense Force: Insect Armageddon,Xbox 360,2011,Shooter,D3Publisher,0.1,0.04,0.03,0.01,0.19,68,40,8.2,45,Vicious Cycle,T
Major League Baseball 2K10,PlayStation 3,2010,Sports,Take-Two Interactive,0.17,0,0,0.01,0.19,74,19,5.3,4,Visual Concepts,E
Saints Row IV,PC,2013,Action,Deep Silver,0.11,0.06,0,0.02,0.19,86,45,7.4,1543,Volition Inc.,M
J-League Pro Soccer Club o Tsukurou! 5,PlayStation 2,2007,Sports,Sega,0,0,0.19,0,0.19,,,,,,
Harry Potter: Quidditch World Cup,Xbox,2003,Sports,Electronic Arts,0.14,0.04,0,0.01,0.19,69,14,7.5,4,Electronic Arts,E
Dance Central: Spotlight,Xbox One,2014,Misc,Microsoft Game Studios,0.15,0.03,0,0,0.19,74,19,7,47,Harmonix Music Systems,T
Little Battlers eXperience W,PlayStation Portable,2012,Role-Playing,Level 5,0,0,0.19,0,0.19,,,,,,
Warriors: LegenNintendo DS of Troy,PlayStation 3,2011,Action,Tecmo Koei,0.06,0.04,0.07,0.02,0.19,44,22,7,24,Tecmo Koei Canada,M
La Pucelle: Tactics,PlayStation 2,2002,Role-Playing,Tecmo Koei,0.09,0.07,0,0.02,0.19,79,47,8.5,15,Nippon Ichi Software,T
Arcania: Gothic 4,PC,2010,Role-Playing,JoWood Productions,0.09,0.08,0,0.02,0.19,63,25,4.4,307,Spellbound,T
NBA Ballers: Chosen One,Xbox 360,2008,Sports,Midway Games,0.17,0,0,0.01,0.19,55,42,4.2,15,Midway,E
Tiger WooNintendo DS PGA Tour 07,Xbox,2006,Sports,Electronic Arts,0.13,0.05,0,0.01,0.19,81,21,6.8,6,EA Redwood Shores,E
Disney's Meet the Robinsons,Wii,2007,Action,Disney Interactive Studios,0.17,0,0,0.01,0.19,62,11,6.3,4,Buena Vista Games,E10+
Sword Art Online: Hollow Realization,PlayStation 4,2016,Role-Playing,Namco Bandai Games,0.06,0.02,0.1,0.02,0.19,69,32,7.7,52,Bandai Namco Games,T
Star Wars: The Clone Wars & Tetris WorlNintendo DS,Xbox,2002,Misc,Microsoft Game Studios,0.14,0.04,0,0.01,0.19,,,,,,
The Lord of the Rings: War in the North,PC,2011,Action,Warner Bros. Interactive Entertainment,0.05,0.11,0,0.03,0.19,66,21,7.1,289,Snowblind Studios,M
The Bee Game,Nintendo DS,2007,Adventure,Midway Games,0.17,0,0,0.01,0.19,,,tbd,,Independent Arts,E
SBK X: Superbike World Championship,Xbox 360,2010,Racing,Black Bean Games,0.1,0.07,0,0.02,0.19,74,13,8.3,8,Milestone S.r.l,E10+
Rango: The Video Game,PlayStation 3,2011,Action,Electronic Arts,0.07,0.09,0,0.03,0.19,65,23,6.4,7,Behaviour Interactive,E10+
