Rank,Name,Platform,Year,Genre,Publisher,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales,Critic_Score,Critic_Count,User_Score,User_Count
6829,Bass Pro Shops: The Hunt,Wii,2010,Sports,XS Games,0.23,0,0,0.02,0.24,58,22,8,46
6830,"What Did I Do to Deserve This, My Lord!? 2",PlayStation Portable,2008,Role-Playing,Nippon Ichi Software,0.05,0,0.18,0.01,0.24,,,,
6831,Boogie SuperStar,Wii,2008,Misc,Electronic Arts,0.2,0.02,0,0.02,0.24,80,66,7.3,520
6832,Burnout 2: Point of Impact,Xbox,2003,Racing,Acclaim Entertainment,0.18,0.05,0,0.01,0.24,52,26,8.5,14
6833,Rock Band Track Pack Volume 1,Wii,2008,Misc,MTV Games,0.17,0.05,0,0.02,0.24,,,,
6834,Singularity,PlayStation 3,N/A,Shooter,Unknown,0.17,0.04,0.01,0.03,0.24,,,,
6835,Super Monkey Ball Deluxe,PlayStation 2,2005,Misc,Sega,0.12,0.09,0,0.03,0.24,51,11,6.1,8
6836,Street Fighter X Tekken,PlayStation Vita,2012,Fighting,Capcom,0.14,0.05,0.01,0.04,0.24,,,tbd,
6837,Kill.Switch,Xbox,2003,Shooter,Namco Bandai Games,0.18,0.05,0,0.01,0.24,60,12,5.3,14
6838,Ben 10 Ultimate Alien: Cosmic Destruction,PlayStation Portable,2010,Platform,D3Publisher,0.1,0.09,0,0.05,0.24,68,9,7.1,25
6839,Metro 2033,PC,2010,Shooter,THQ,0,0.19,0,0.05,0.24,,,,
6840,Peter Jackson's King Kong: The Official Game of the Movie,Game Cube,2005,Action,Ubisoft,0.19,0.05,0,0.01,0.24,,,tbd,
6841,Stella Glow,Nintendo 3DS,2015,Role-Playing,Atlus,0.16,0.01,0.05,0.02,0.24,,,,
6842,Dancing With The Stars,Wii,2007,Misc,Activision,0.22,0,0,0.02,0.24,,,9.1,20
6843,Summon Night 3,PlayStation 2,2003,Role-Playing,Banpresto,0,0,0.24,0,0.24,,,5.9,7
6844,Pro Yaky? Spirits 2010,PlayStation Portable,2010,Sports,Konami Digital Entertainment,0,0,0.24,0,0.24,71,54,6.5,131
6845,The Simpsons: Road Rage,Game Cube,2001,Racing,Electronic Arts,0.19,0.05,0,0.01,0.24,70,12,9.2,60
6846,Megamind: Mega Team Unite,Wii,2010,Adventure,THQ,0.16,0.06,0,0.02,0.24,,,,
6847,PDC World Championship Darts 2008,Wii,2008,Sports,Oxygen Interactive,0.02,0.21,0,0.01,0.24,,,,
6848,Jissen Pachi-Slot Hisshouhou! Hokuto no Ken SE,PlayStation 2,2006,Misc,Sega,0,0,0.24,0,0.24,,,,
6849,Azurik: Rise of Perathia,Xbox,2001,Action,Microsoft Game Studios,0.18,0.05,0,0.01,0.24,,,,
6850,Luminous Arc,Nintendo DS,2007,Role-Playing,Rising Star Games,0.16,0,0.06,0.01,0.24,,,,
6851,All Grown Up!: Game Boy Advance Video Volume 1,Game Boy Advance,2004,Misc,N/A,0.17,0.06,0,0,0.24,,,,
6852,The Lord of the Rings: Aragorn's Quest,Wii,2010,Action,Warner Bros. Interactive Entertainment,0.17,0.05,0,0.02,0.24,,,,
6853,Dragon Ball Z: Sagas,Xbox,2005,Fighting,Atari,0.18,0.05,0,0.01,0.24,,,,
6854,Paws & Claws: Pet Resort,Nintendo DS,2008,Simulation,THQ,0.22,0,0,0.02,0.24,75,42,7.4,28
6855,Grand Slam Tennis 2,PlayStation 3,2012,Sports,Electronic Arts,0.09,0.11,0,0.04,0.24,83,17,8,6
6856,Sakura Wars: Atsuki Chishio Ni,PlayStation 2,2003,Role-Playing,Sega,0,0,0.24,0,0.24,,,,
6857,Ms. Pac-Man: Maze Madness / Pac-Man World,Game Boy Advance,2005,Puzzle,Namco Bandai Games,0.17,0.06,0,0,0.24,77,23,4,38
6858,NHRA Championship Drag Racing,PlayStation 2,2005,Racing,ValuSoft,0.12,0.09,0,0.03,0.24,81,16,tbd,
6859,The Price is Right 2010 Edition,Wii,2009,Misc,Ubisoft,0.22,0,0,0.02,0.24,,,,
6860,Monster Jam,PlayStation 2,2007,Racing,Activision,0.12,0.09,0,0.03,0.24,60,16,5.2,9
6861,Valhalla Knights,PlayStation Portable,2006,Role-Playing,Rising Star Games,0.15,0,0.07,0.01,0.24,61,32,4,6
6862,Harvest Moon: Another Wonderful Life,Game Cube,2004,Role-Playing,Marvelous Interactive,0.19,0.05,0,0.01,0.24,,,,
6863,NBA Live 10,PlayStation Portable,2009,Sports,Electronic Arts,0.21,0,0.01,0.02,0.24,64,7,5.4,5
6864,The Godfather (US & Others sales),Xbox 360,2006,Action,Electronic Arts,0.2,0.02,0,0.02,0.24,77,48,7.7,100
6865,Jikkyou Powerful Pro Yakyuu 15,PlayStation 2,2008,Sports,Konami Digital Entertainment,0,0,0.24,0,0.24,81,40,8.1,1472
6866,MX vs. ATV Reflex,PlayStation Portable,2009,Racing,THQ,0.18,0.03,0,0.03,0.24,,,,
6867,Bakugan: Battle Brawlers,PlayStation 3,2009,Action,Activision,0.19,0.03,0,0.02,0.24,,,,
6868,Front Line,2600,1981,Action,Taito,0.22,0.01,0,0,0.24,,,tbd,
6869,Paperboy,Nintendo 64,1999,Action,Midway Games,0.19,0.05,0,0,0.24,,,,
6870,South Park: Chef's Luv Shack,Nintendo 64,1999,Misc,Acclaim Entertainment,0.19,0.05,0,0,0.24,,,6.7,46
6871,Midway's Greatest Arcade Hits Volume 1,Nintendo 64,2000,Misc,Midway Games,0.19,0.05,0,0,0.24,53,29,6.3,15
6872,Road Rash 64,Nintendo 64,1999,Racing,THQ,0.19,0.05,0,0,0.24,,,,
6873,Ready 2 Rumble Boxing: Round 2,Nintendo 64,2000,Fighting,Midway Games,0.19,0.05,0,0,0.24,,,8.1,9
6874,Army Men: Air Combat,Nintendo 64,2000,Action,3DO,0.19,0.05,0,0,0.24,,,,
6875,Rock Band Track Pack Volume 2,Wii,2008,Misc,MTV Games,0.21,0.02,0,0.02,0.24,61,9,tbd,
6876,NCAA College Basketball 2K3,PlayStation 2,2002,Sports,Sega,0.12,0.09,0,0.03,0.24,50,15,tbd,
6877,Mobile Suit Gundam Battlefield Record U.C.0081,PlayStation 3,2009,Action,Namco Bandai Games,0,0,0.24,0,0.24,63,35,6.1,12
6878,Harry Potter and the Deathly Hallows - Part 2,Nintendo DS,2011,Action,Electronic Arts,0.12,0.1,0,0.02,0.24,,,,
6879,NCAA March Madness 2004,Xbox,2003,Sports,Electronic Arts,0.18,0.05,0,0.01,0.24,,,,
6880,Lucky Luke,PlayStation,1998,Platform,Ocean,0.13,0.09,0,0.02,0.24,77,44,7.9,49
6881,Fantastic 4,Game Cube,2005,Action,Activision,0.19,0.05,0,0.01,0.24,73,5,6.2,40
6882,Ashes Cricket 2009,Wii,2009,Sports,Codemasters,0,0.23,0,0.01,0.24,70,25,7,24
6883,Ghost Rider,PlayStation Portable,2007,Action,Take-Two Interactive,0.22,0,0,0.02,0.24,,,8.6,14
6884,Tony Hawk's American Sk8land,Game Boy Advance,2005,Sports,Activision,0.17,0.06,0,0,0.24,59,15,6.2,5
6885,Juiced 2: Hot Import Nights,Nintendo DS,2007,Racing,THQ,0.22,0,0,0.02,0.24,72,7,tbd,
6886,Are You Smarter than a 5th Grader? Game Time,Nintendo DS,2009,Puzzle,THQ,0.22,0,0,0.02,0.24,,,,
6887,Amazing Adventures: The Forgotten Ruins,Nintendo DS,2008,Adventure,PopCap Games,0.13,0.08,0,0.02,0.24,63,20,tbd,
6888,Densetsu no Stafi 3,Game Boy Advance,2004,Platform,Nintendo,0,0,0.23,0.01,0.24,68,33,7.1,23
6889,Forsaken,PlayStation,1998,Shooter,Acclaim Entertainment,0.13,0.09,0,0.02,0.24,71,29,7.4,13
6890,Ratchet & Clank: Going Commando (JP weekly sales),PlayStation 2,2003,Action,Sony Computer Entertainment,0,0,0.24,0,0.24,,,,
6891,Pictionary: Ultimate Edition,PlayStation 3,2011,Misc,THQ,0.15,0.06,0,0.03,0.24,,,,
6892,LEGO The Hobbit,Nintendo 3DS,2014,Action,Warner Bros. Interactive Entertainment,0.09,0.13,0,0.02,0.24,53,31,5.2,10
6893,Samurai Warriors 4,PlayStation 4,2014,Action,Tecmo Koei,0.08,0.07,0.06,0.03,0.24,62,17,8.2,37
6894,The Hobbit,Xbox,2003,Platform,Vivendi Games,0.18,0.05,0,0.01,0.24,87,22,8.3,194
6895,Dance Dance Revolution: Disney Channel Edition,PlayStation 2,2008,Simulation,Konami Digital Entertainment,0.12,0.09,0,0.03,0.24,46,21,3.9,14
6896,DiRT Showdown,Xbox 360,2012,Racing,Codemasters,0.08,0.14,0,0.02,0.24,75,13,7.7,15
6897,Divinity II: Ego Draconis,Xbox 360,2009,Role-Playing,DTP Entertainment,0.18,0.04,0,0.02,0.24,,,,
6898,Checkers,2600,1980,Misc,Atari,0.22,0.01,0,0,0.24,49,17,5.7,13
6899,Front Mission: Gun Hazard,Super NES,1996,Role-Playing,SquareSoft,0,0,0.24,0,0.24,85,49,9.1,54
6900,X-Men: Destiny,Xbox 360,2011,Action,Activision,0.18,0.05,0,0.02,0.24,50,33,4.8,37
6901,Hello Kitty Seasons,Wii,2010,Adventure,Namco Bandai Games,0.16,0.06,0,0.02,0.24,57,28,7.9,18
6902,Chibi-Robo! Zip Lash,Nintendo 3DS,2015,Platform,Nintendo,0.09,0.08,0.06,0.02,0.24,,,,
6903,4x4 EVO 2,Xbox,2001,Racing,Gathering of Developers,0.18,0.05,0,0.01,0.24,67,35,6.6,25
6904,XS Airboat Racing,PlayStation,2002,Racing,XS Games,0.13,0.09,0,0.02,0.24,63,24,7.8,8
6905,Lunar: Silver Star Harmony,PlayStation Portable,2009,Role-Playing,GungHo,0.19,0,0.03,0.02,0.24,,,tbd,
6906,Sherlock Holmes and the Mystery of Osborne House,Nintendo DS,2010,Adventure,Focus Home Interactive,0.07,0.14,0,0.03,0.24,,,,
6907,Grand Theft Auto,Game Boy Advance,2004,Action,Take-Two Interactive,0.17,0.06,0,0,0.24,,,,
6908,Dora the Explorer: Super Star Adventures,Game Boy Advance,2004,Adventure,Game Factory,0.17,0.06,0,0,0.24,,,tbd,
6909,Viva Pinata: Party Animals,Xbox 360,2007,Misc,Microsoft Game Studios,0.19,0.03,0,0.02,0.24,,,tbd,
6910,Scrabble (Others sales),Nintendo DS,2009,Puzzle,Ubisoft,0,0.24,0,0,0.24,,,8,10
6911,Asura's Wrath,Xbox 360,2012,Action,Capcom,0.15,0.06,0.01,0.02,0.24,59,24,7.3,28
6912,Lego Star Wars: The Force Awakens,Xbox One,2016,Action,Warner Bros. Interactive Entertainment,0.12,0.1,0,0.02,0.24,65,16,7.4,34
6913,Dynasty Warriors 6 Empires,Xbox 360,2009,Action,Tecmo Koei,0.16,0.02,0.04,0.02,0.24,77,22,8.4,9
6914,My Street,PlayStation 2,2003,Misc,Sony Computer Entertainment,0.12,0.09,0,0.03,0.24,43,25,2.7,175
6915,Wild 9,PlayStation,1998,Action,Interplay,0.13,0.09,0,0.02,0.24,42,59,4.7,22
6916,Shadow Hearts: Covenant,PlayStation 2,2004,Role-Playing,Midway Games,0.12,0.09,0,0.03,0.24,,,,
6917,Tiger Woods PGA Tour 10,PlayStation Portable,2009,Sports,Electronic Arts,0.12,0.07,0,0.05,0.24,53,14,5.5,81
6918,Shrek's Carnival Craze Party Games,Nintendo DS,2008,Misc,Activision,0.22,0,0,0.02,0.24,,,,
6919,Angry Birds,PC,2011,Puzzle,Focus Home Interactive,0,0.18,0,0.05,0.24,69,4,6.8,15
6920,Risen 2: Dark Waters,PlayStation 3,2012,Role-Playing,Deep Silver,0.04,0.14,0.01,0.05,0.24,51,18,5.4,7
6921,Danganronpa: Trigger Happy Havoc,PlayStation Portable,N/A,Misc,Unknown,0,0,0.24,0,0.24,47,51,5,72
6922,Guitar Hero Live,Xbox 360,2015,Misc,Activision,0.12,0.1,0,0.02,0.24,,,,
6923,Game & Wario,Wii U,2013,Misc,Nintendo,0.06,0.06,0.11,0.01,0.24,,,tbd,
6924,PGA Tour 96,PlayStation,1995,Sports,Electronic Arts,0.13,0.09,0,0.02,0.24,,,,
6925,Onechanbara Z2: Chaos,PlayStation 4,2014,Action,Nippon Ichi Software,0.13,0.02,0.04,0.04,0.24,,,,
6926,Fallout 3 Game Add-On Pack: Broken Steel and Point Lookout,Xbox 360,2009,Role-Playing,Bethesda Softworks,0.16,0.06,0,0.02,0.24,53,4,tbd,
6927,Covert Ops: Nuclear Dawn,PlayStation,2000,Action,Sony Computer Entertainment,0.13,0.09,0,0.02,0.24,80,23,4.3,113
6928,DanceDanceRevolution II,Wii,N/A,Misc,Konami Digital Entertainment,0.22,0,0,0.02,0.24,,,,
6929,Pictionary: Ultimate Edition,Xbox 360,2011,Misc,THQ,0.16,0.05,0,0.02,0.24,,,,
6930,LEGO Harry Potter: Years 5-7,PlayStation Vita,2012,Action,Warner Bros. Interactive Entertainment,0.09,0.1,0,0.05,0.24,,,7.3,19
6931,TrackMania: Build to Race,Wii,2010,Racing,Focus Home Interactive,0.1,0.11,0,0.03,0.24,62,4,tbd,
6932,Nintendo Presents: Crossword Collection,Nintendo DS,2009,Puzzle,Nintendo,0,0.21,0,0.02,0.24,46,12,7.5,30
6933,Galaga: Destination Earth,PlayStation,2000,Shooter,Hasbro Interactive,0.13,0.09,0,0.02,0.24,70,7,tbd,
6934,G.I. Joe: The Rise of Cobra,Xbox 360,2009,Action,Electronic Arts,0.17,0.05,0,0.02,0.24,,,tbd,
6935,Ar tonelico Qoga: Knell of Ar Ciel,PlayStation 3,2010,Role-Playing,Tecmo Koei,0.08,0.01,0.13,0.01,0.24,56,4,tbd,
6936,FIFA World Cup Germany 2006,Xbox,2006,Sports,Electronic Arts,0.18,0.05,0,0.01,0.24,65,70,6.2,57
6937,Polly Pocket: Super Splash Island,Game Boy Advance,2003,Action,Knowledge Adventure,0.17,0.06,0,0,0.24,61,27,5.4,101
6938,God Eater 2,PlayStation Portable,2013,Role-Playing,Namco Bandai Games,0,0,0.24,0,0.24,56,9,8.2,9
6939,Tony Hawk's Downhill Jam,Wii,N/A,Sports,Activision,0.21,0,0,0.02,0.24,74,29,8.1,14
6940,Sesame Street: Elmo's Number Journey,PlayStation,1998,Misc,NewKidCo,0.13,0.09,0,0.02,0.24,62,37,6.4,36
6941,Rampage,2600,1988,Action,Activision,0.22,0.01,0,0,0.24,73,27,8.4,18
6942,Dark Cavern,2600,1981,Shooter,Mattel Interactive,0.22,0.01,0,0,0.24,72,27,6.8,243
6943,Jewels of the Tropical Lost Island,Nintendo DS,2010,Puzzle,Storm City Games,0.11,0.1,0,0.02,0.24,63,10,8.2,5
6944,Afro Samurai,Xbox 360,2009,Action,Atari,0.16,0.05,0,0.02,0.24,62,18,7.5,6
6945,The Bureau: XCOM Declassified,Xbox 360,2013,Shooter,Take-Two Interactive,0.1,0.12,0,0.02,0.24,76,26,7,4
6946,Sands of Destruction,Nintendo DS,2008,Role-Playing,Sega,0.09,0,0.13,0.01,0.24,,,,
6947,NASCAR 2011: The Game,Wii,2011,Racing,Activision,0.22,0,0,0.01,0.24,,,tbd,
6948,Silent Hill: Book of Memories,PlayStation Vita,2012,Action,Konami Digital Entertainment,0.13,0.06,0,0.04,0.24,,,,
6949,Lunar Knights,Nintendo DS,2006,Role-Playing,Konami Digital Entertainment,0.17,0.01,0.04,0.02,0.24,,,,
6950,The Walking Dead: Season Two,PlayStation 4,2014,Adventure,Telltale Games,0.1,0.09,0.01,0.04,0.24,77,24,8.1,31
6951,Epic Mickey 2: The Power of Two,Wii U,2012,Action,Disney Interactive Studios,0.14,0.07,0.01,0.02,0.24,66,7,6.5,4
6952,DC Universe Online,PC,2011,Role-Playing,Sony Online Entertainment,0.16,0.06,0,0.02,0.24,,,,
6953,NASCAR 08,PlayStation 2,2007,Racing,Electronic Arts,0.12,0.09,0,0.03,0.24,,,,
6954,Madagascar: Escape 2 Africa,PlayStation 3,2008,Action,Activision,0.12,0.08,0,0.04,0.23,,,,
6955,New Carnival Games,Nintendo DS,2010,Misc,Take-Two Interactive,0.16,0.05,0,0.02,0.23,,,,
6956,Need For Speed: Undercover,Nintendo DS,2008,Racing,Electronic Arts,0.18,0.03,0,0.02,0.23,,,,
6957,LEGO Marvel's Avengers,Wii U,2016,Action,Warner Bros. Interactive Entertainment,0.12,0.09,0,0.02,0.23,,,,
6958,Naruto: Path of the Ninja 2,Nintendo DS,2006,Role-Playing,Takara Tomy,0.22,0,0,0.02,0.23,59,24,5.6,86
6959,Wallace & Gromit in Project Zoo,PlayStation 2,2003,Platform,BAM! Entertainment,0.11,0.09,0,0.03,0.23,85,14,9.1,15
6960,Karaoke Revolution Volume 2,PlayStation 2,2004,Misc,Konami Digital Entertainment,0.11,0.09,0,0.03,0.23,79,30,9.1,31
6961,Wizards of Waverly Place: Spellbound,Nintendo DS,2010,Misc,Disney Interactive Studios,0.16,0.06,0,0.02,0.23,,,tbd,
6962,Love Plus +,Nintendo DS,2010,Simulation,Konami Digital Entertainment,0,0,0.23,0,0.23,68,26,5.8,10
6963,Etrian Mystery Dungeon,Nintendo 3DS,2015,Role-Playing,Nippon Ichi Software,0.09,0.01,0.12,0.01,0.23,,,,
6964,Mobile Suit Gundam: Climax U.C.,PlayStation 2,2006,Action,Namco Bandai Games,0,0,0.23,0,0.23,63,20,7.9,18
6965,Street Fighter EX2 Plus,PlayStation,1998,Fighting,Virgin Interactive,0.13,0.09,0,0.02,0.23,68,15,6,6
6966,The Smurfs 2,Nintendo DS,2013,Platform,Ubisoft,0,0.21,0,0.02,0.23,56,42,6.2,18
6967,Big Family Games,Wii,2009,Misc,THQ,0,0.22,0,0.02,0.23,,,,
6968,Big Beach Sports 2,Wii,N/A,Sports,THQ,0.09,0.12,0,0.03,0.23,,,,
6969,Hot Wheels: Beat That!,Nintendo DS,2007,Racing,Activision,0.22,0,0,0.02,0.23,,,tbd,
6970,Jet X20,PlayStation 2,N/A,Racing,Unknown,0.11,0.09,0,0.03,0.23,,,tbd,
6971,Super Robot Taisen D,Game Boy Advance,2003,Strategy,Banpresto,0,0,0.23,0.01,0.23,,,,
6972,NASCAR Thunder 2004,Xbox,2003,Racing,Electronic Arts,0.18,0.05,0,0.01,0.23,85,20,8.8,6
6973,Buffy the Vampire Slayer,Xbox,2002,Action,Electronic Arts,0.18,0.05,0,0.01,0.23,73,34,9.1,23
6974,LEGO Marvel's Avengers,PlayStation Vita,2016,Action,Warner Bros. Interactive Entertainment,0.07,0.11,0,0.05,0.23,,,,
6975,Star Wars: The Force Unleashed II,Nintendo DS,2010,Action,LucasArts,0.18,0.04,0,0.02,0.23,64,35,7.5,25
6976,Harry Potter and the Goblet of Fire,Xbox,2005,Action,Electronic Arts,0.18,0.05,0,0.01,0.23,81,10,8,90
6977,Zumba Fitness: World Party,Xbox One,2013,Misc,Majesco Entertainment,0.17,0.05,0,0.02,0.23,77,20,7.5,132
6978,Saint Seiya: Sanctuary Battle,PlayStation 3,2011,Action,Namco Bandai Games,0,0.09,0.11,0.03,0.23,35,9,3.4,16
6979,Girls Mode 3: Kirakira Code,Nintendo 3DS,2015,Action,Nintendo,0,0,0.23,0,0.23,47,12,7.2,6
6980,Meteos,Nintendo DS,2005,Puzzle,Nintendo,0.15,0.01,0.06,0.01,0.23,66,4,tbd,
6981,Virtua Tennis 4,Xbox 360,2011,Sports,Sega,0.11,0.1,0.01,0.02,0.23,,,,
6982,Kung Fu Panda 2,Nintendo DS,2011,Action,THQ,0.16,0.05,0,0.02,0.23,,,,
6983,Cross Edge,PlayStation 3,2008,Role-Playing,Nippon Ichi Software,0.14,0.02,0.05,0.02,0.23,72,42,6.5,15
6984,Hotel for Dogs,Nintendo DS,2008,Simulation,505 Games,0.22,0,0,0.02,0.23,,,,
6985,Cabela's Big Game Hunter 2012,PlayStation 3,2011,Sports,Activision,0.17,0.03,0,0.03,0.23,88,49,7.5,164
6986,Pro Yakyuu Team o Tsukurou!,DC,1999,Sports,Sega,0,0,0.23,0,0.23,,,,
6987,Me & My Katamari,PlayStation Portable,2005,Puzzle,Namco Bandai Games,0.13,0.02,0.08,0,0.23,75,17,7.8,19
6988,Asphalt: Injection,PlayStation Vita,2011,Action,Ubisoft,0.14,0.06,0,0.04,0.23,89,19,8.7,25
6989,Total War: Attila,PC,2015,Strategy,Sega,0.09,0.13,0,0.02,0.23,70,37,6.2,12
6990,SSX On Tour,PlayStation Portable,2005,Sports,Electronic Arts,0.19,0.02,0,0.02,0.23,90,19,7,22
6991,Vancouver 2010 - The Official Video Game of the Olympic Winter Games,Xbox 360,2010,Sports,Sega,0.08,0.13,0,0.03,0.23,,,,
6992,World Series Baseball,Xbox,2002,Sports,Sega,0.17,0.05,0,0.01,0.23,75,53,6.4,53
6993,SingStar Pop Edition,PlayStation 3,2009,Misc,Sony Computer Entertainment,0,0.19,0,0.05,0.23,84,47,8,22
6994,Test Drive: Eve of Destruction,PlayStation 2,2004,Racing,Atari,0.11,0.09,0,0.03,0.23,53,19,tbd,
6995,Starsky & Hutch,Xbox,2003,Racing,Empire Interactive,0.17,0.05,0,0.01,0.23,,,,
6996,Dynasty Warriors: Gundam Reborn,PlayStation 3,2013,Action,Tecmo Koei,0,0,0.23,0,0.23,61,4,7.8,4
6997,Hatsune Miku: Project Diva f,PlayStation Vita,2012,Misc,Sega,0,0,0.23,0,0.23,,,,
6998,The Club,PlayStation 3,2008,Shooter,Sega,0.14,0.07,0,0.03,0.23,88,104,7.1,1221
6999,Carnival Island,PlayStation 3,2011,Misc,Sony Computer Entertainment,0.13,0.06,0,0.04,0.23,,,,
7000,Jeremy McGrath Supercross World,PlayStation 2,2001,Racing,Acclaim Entertainment,0.11,0.09,0,0.03,0.23,53,6,tbd,
7001,M&M's Kart Racing,Wii,2007,Racing,Zoo Digital Publishing,0.22,0,0,0.02,0.23,63,4,tbd,
7002,Rock Band Track Pack: Classic Rock,Wii,2009,Misc,MTV Games,0.22,0,0,0.02,0.23,69,42,6.2,13
7003,The Scorpion King: Rise of the Akkadian,PlayStation 2,2002,Action,Universal Interactive,0.11,0.09,0,0.03,0.23,,,,
7004,Let's Make a Soccer Team!,PlayStation 2,2006,Sports,Sega,0,0,0.23,0,0.23,52,32,7.2,82
7005,Looney Tunes: Acme Arsenal,Wii,2007,Action,Warner Bros. Interactive Entertainment,0.21,0.01,0,0.02,0.23,,,,
7006,Monster Hunter G,PlayStation 2,2005,Role-Playing,Capcom,0,0,0.23,0,0.23,58,21,7.8,5
7007,All-Star Baseball 2001,Nintendo 64,2000,Sports,Acclaim Entertainment,0.22,0.01,0,0,0.23,78,11,tbd,
7008,Pinball Hall of Fame: The Gottlieb Collection,PlayStation Portable,2005,Misc,Play It,0.2,0.01,0,0.02,0.23,,,tbd,
7009,Sword Art Online: Lost Song,PlayStation 4,2015,Role-Playing,Namco Bandai Games,0.09,0.1,0,0.04,0.23,,,,
7010,Star Wars Jedi Knight II: Jedi Outcast,Game Cube,2002,Shooter,Activision,0.18,0.05,0,0.01,0.23,,,,
7011,Tom Clancy's Splinter Cell,Game Cube,2003,Action,Ubisoft,0.18,0.05,0,0.01,0.23,73,23,8.8,47
7012,Pitfall: The Big Adventure,Wii,2008,Adventure,Activision,0.2,0.02,0,0.02,0.23,,,,
7013,Rock Band Country Track Pack,Xbox 360,2009,Misc,MTV Games,0.22,0,0,0.02,0.23,,,,
7014,Worms: Battle Islands,Wii,2010,Strategy,THQ,0.11,0.1,0,0.02,0.23,27,7,5.1,14
7015,ESPN NHL Hockey,PlayStation 2,2003,Sports,Sega,0.11,0.09,0,0.03,0.23,,,tbd,
7016,Harvest Moon GB,Game Boy,1997,Simulation,Victor Interactive,0,0,0.23,0,0.23,48,11,tbd,
7017,Imagine: Detective,Nintendo DS,2009,Simulation,Ubisoft,0.16,0.01,0,0.06,0.23,,,,
7018,The Incredible Hulk: Ultimate Destruction,Xbox,2005,Action,Vivendi Games,0.17,0.05,0,0.01,0.23,71,7,tbd,
7019,Hannah Montana: The Movie,PlayStation 3,2009,Adventure,Disney Interactive Studios,0.14,0.06,0,0.03,0.23,58,13,6.8,4
7020,NCAA GameBreaker 2003,PlayStation 2,2002,Sports,Sony Computer Entertainment,0.11,0.09,0,0.03,0.23,,,,
7021,Skylanders: SuperChargers,Xbox One,2015,Action,Activision,0.16,0.05,0,0.02,0.23,,,tbd,
7022,Gundam Battle Assault,PlayStation,1998,Fighting,Namco Bandai Games,0.13,0.09,0,0.02,0.23,,,,
7023,Virtua Fighter Kids,SAT,1995,Fighting,Sega,0,0,0.23,0,0.23,81,33,8.6,31
7024,Lunar: Silver Star Story,SAT,1996,Role-Playing,Kadokawa Shoten,0,0,0.23,0,0.23,57,21,5,14
7025,Rocket Power: Beach Bandits,Game Cube,2002,Platform,THQ,0.18,0.05,0,0.01,0.23,,,tbd,
7026,Shaun White Snowboarding,Nintendo DS,2008,Sports,Ubisoft,0.21,0,0,0.02,0.23,,,,
7027,LEGO The Hobbit,Wii U,2014,Action,Warner Bros. Interactive Entertainment,0.1,0.11,0,0.02,0.23,,,tbd,
7028,Ultimate Band,Nintendo DS,2008,Misc,Disney Interactive Studios,0.19,0.02,0,0.02,0.23,66,33,7.7,22
7029,NBA 2K6,Xbox 360,2005,Action,Take-Two Interactive,0.21,0.01,0,0.02,0.23,73,36,5.2,17
7030,Age of Empires: The Age of Kings,Nintendo DS,2006,Strategy,THQ,0.19,0.02,0,0.02,0.23,59,18,5.7,12
7031,What's Cooking? Jamie Oliver,Nintendo DS,2008,Simulation,Atari,0.2,0.01,0,0.02,0.23,70,18,5.8,12
7032,Tom Clancy's Rainbow Six: Rogue Spear,PlayStation,2001,Shooter,Ubisoft,0.13,0.09,0,0.02,0.23,,,,
7033,NHL FaceOff 2001,PlayStation,2000,Sports,Sony Computer Entertainment,0.13,0.09,0,0.02,0.23,,,,
7034,Ultimate Duck Hunting: Hunting & Retrieving Ducks,Wii,2007,Sports,Detn8 Games,0.21,0,0,0.02,0.23,57,14,5.6,46
7035,Yu-Gi-Oh! GX: Duel Academy,Game Boy Advance,2005,Misc,Konami Digital Entertainment,0.17,0.06,0,0,0.23,,,,
7036,FIFA 14,PlayStation Portable,2013,Sports,Electronic Arts,0,0.16,0,0.07,0.23,,,,
7037,Tribes: Aerial Assault,PlayStation 2,N/A,Shooter,Unknown,0.11,0.09,0,0.03,0.23,,,,
7038,Colony Wars: Vengeance,PlayStation,1998,Simulation,Psygnosis,0.13,0.09,0,0.02,0.23,,,,
7039,Last Window: The Secret of Cape West,Nintendo DS,2010,Adventure,Nintendo,0,0.12,0.09,0.02,0.23,,,tbd,
7040,Yu-Gi-Oh! GX: Tag Force 3,PlayStation Portable,2008,Strategy,Konami Digital Entertainment,0,0.03,0.18,0.01,0.23,66,25,5.2,5
7041,Dynasty Warriors: Strikeforce,Xbox 360,2009,Action,Tecmo Koei,0.13,0.06,0.02,0.02,0.23,79,37,6.9,734
7042,Naruto Shippuden: Ultimate Ninja Storm Revolution,Xbox 360,2014,Fighting,Namco Bandai Games,0.13,0.08,0,0.02,0.23,,,,
7043,I Love Horses,Nintendo DS,2008,Simulation,GSP,0.21,0,0,0.01,0.23,,,,
7044,Madden NFL 06,Game Boy Advance,2005,Sports,Electronic Arts,0.17,0.06,0,0,0.23,74,49,8.3,19
7045,Karaoke Revolution Glee 2: Road to Regionals,Wii,2011,Misc,Konami Digital Entertainment,0.15,0.06,0,0.02,0.23,,,,
7046,NASCAR 08,PlayStation 3,2007,Racing,Electronic Arts,0.15,0.05,0,0.03,0.23,,,,
7047,The King of Fighters '95 (CD),NG,1994,Fighting,SNK,0,0,0.23,0,0.23,,,,
